,Unnamed: 0,victim.victim_id,attribute.confidentiality.data_disclosure,victim.orgsize,victim.country,action.social.variety,timeline.incident.day,timeline.incident.month,timeline.incident.year,action.error.variety,action.hacking.variety,action.malware.variety,action.misuse.variety,action.physical.variety,victim.state,victim.secondary.victim_id,action.environmental.variety,targeted,incident_id,reference,confidence,victim.employee_count,victim.government,victim.industry,victim.region,victim.revenue.amount,victim.revenue.iso_currency_code,impact.iso_currency_code,impact.loss.amount,impact.loss.max_amount,impact.loss.min_amount,impact.overall_amount,impact.overall_max_amount,impact.overall_min_amount,impact.overall_rating,security_incident,victim.industry2,victim.industry3,victim.orgsize.1,code,NAICS industry
2482,2482,united states department of veterans affairs,Yes,Unknown,US,,20.0,8.0,2010,Loss,,,,,KS,,,,4484700C-07C8-42BE-A121-FD1AF8BC7511,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2488,2488,erlanger health system,Yes,Unknown,US,,,,2020,Loss,,,,,TN,,,,3c08b400-10ae-11ec-ac2c-abfc822846a5,https://www.beckershospitalreview.com/cybersecurity/erlanger-vendor-loses-backup-cds-containing-almost-5-000-patients-info-during-software-update.html,High,1001 to 10000,,622110,19021,,,,,,,,,,,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
2489,2489,united states department of veterans affairs,Yes,Unknown,US,,1.0,8.0,2012,,,,Privilege abuse,,MS,,,,44BA1F77-B7AC-4CAB-9EB0-F576363468E3,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2491,2491,department of housing and urban development,Yes,Unknown,US,,,,2016,Publishing error,,,,,DC,,,,650F2B0F-30F4-46DD-8731-27D7CE58ECD5,http://www.housingwire.com/articles/38573-hud-inadvertently-exposed-personal-information-of-nearly-500000-individuals,,Large,Unknown,925110,19021,,,,,,,,,,Unknown,Confirmed,92,925,Unknown,925110,Administration of Housing Programs
2492,2492,united states department of veterans affairs,Yes,Unknown,US,,8.0,9.0,2010,Disposal error,,,,,MN,,,,4505F28F-24D6-406B-AF2B-5C4053845BAD,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2493,2493,7eleven,Yes,Unknown,US,,,8.0,2017,,,,,Skimmer,VA,,,Opportunistic,94308c20-80f2-11e7-8520-b5d4bef506ca,http://wtop.com/fairfax-county/2017/08/police-say-atm-skimmers-rise-fairfax-county/,High,10001 to 25000,,445120,19021,,,,,,,,,,,Confirmed,44,445,Unknown,,
2506,2506,providence health system,Yes,Unknown,US,,,,2017,Misdelivery,,,,,WA,,,,a496b180-972a-11e8-8342-0f8f10fcd812,http://www.spokesman.com/stories/2018/jul/21/sue-lani-madsen-hipaa-identity-theft-sort-of/,High,Over 100000,,621491,19021,,,,,,,,,,,Confirmed,62,621,Unknown,621491,HMO Medical Centers
2514,2514,united states department of veterans affairs,Yes,Unknown,US,,30.0,7.0,2014,Loss,,,,,DC,,,,45CDDE80-85DD-4B4E-8A6C-0034D4809095,http://krwg.org/post/data-security-breach-albuquerque-va-affects-over-2600-vets,,Over 100000,Unknown,923140,19021,,,,,,,,,,Unknown,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2515,2515,united states department of veterans affairs,Yes,Unknown,US,,27.0,12.0,2010,Gaffe,,,,,SC,,,,45D1E595-F901-47F1-9DCA-E86609EC70FB,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2517,2517,kimpton hotels and restaurants,Yes,Unknown,US,,16.0,2.0,2016,,Use of stolen creds,Unknown,,,CA,,,,B1EE8F8C-DE42-487A-B277-E4A5E011D477,http://krebsonsecurity.com/2016/09/kimpton-hotels-acknowledges-data-breach/;  https://www.kimptonhotels.com/promos/payment-card-notification; http://www.informationsecuritybuzz.com/hacker-news/kimpton-hotels-disclose-data-breach/; http://krebsonsecurity.com/2016/07/kimpton-hotels-probes-card-breach-claims/,,1001 to 10000,,721110,19021,,,,,,,,,,Unknown,Confirmed,72,721,Unknown,721110,Hotels (except Casino Hotels) and Motels
2518,2518,auburn university,Yes,Unknown,US,,21.0,10.0,2013,,Unknown,,,,AL,,,,45DEA936-FAD9-42F0-A55B-627BD04711C8,http://www.databreaches.net/auburn-university-college-of-business-hacked-notifications-going-out/; http://www.atg.state.vt.us/assets/files/Auburn%20Univ%20ltrt%20Consumer%20re%20security%20Breach.pdf,,1001 to 10000,,611310,19021,,,,,,,,,,Unknown,Confirmed,61,611,Unknown,611310,"Colleges, Universities, and Professional Schools "
2519,2519,united states department of veterans affairs,Yes,Unknown,US,,8.0,11.0,2011,,,,Privilege abuse,,WV,,,,45EA888A-791D-4452-B045-D394B6B076F7,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2524,2524,cerberus mortgage capital inc,Yes,Unknown,US,,,3.0,2014,,Unknown,,,,NY,,,,46054ABD-6470-4E12-8588-5262F42C901B,http://www.databreaches.net/cerberus-notifies-users-to-reset-paswords-after-some-users-usernames-and-encrypted-passwords-accessed/,,101 to 1000,,525910,19021,,,,,,,,,,Unknown,Confirmed,52,525,Unknown,525910,Open-End Investment Funds
2525,2525,united states post office,Yes,Unknown,US,,,,2018,,,,,Theft,TN,,,Opportunistic,f4bd51b0-fe8a-11e8-aee0-f7420d4f3238,http://www.timesnews.net/Law-Enforcement/2018/09/17/Former-carrier-charged-in-mail-theft-case.html,High,Over 100000,,491110,19021,,,,,,,,,,,Confirmed,49,491,Unknown,491110,Postal Service
2527,2527,united states department of veterans affairs,Yes,Unknown,US,,14.0,7.0,2011,,,,Knowledge abuse,,AR,,,,462156E9-EF7C-4B21-AC62-01635124D159,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2529,2529,bill melinda gates foundation,Yes,Unknown,US,,26.0,7.0,2012,Misdelivery,,,,,WA,,,,4624984D-73BF-4B2A-82A6-3160208D019E,http://doj.nh.gov/consumer/security-breaches/documents/bill-melinda-gates-20120823.pdf,,101 to 1000,,813211,19021,3280000000.0,USD,,,,,,,,Unknown,Confirmed,81,813,Unknown,813211,Grantmaking Foundations
2530,2530,united states department of veterans affairs,Yes,Unknown,US,,29.0,5.0,2013,Misdelivery,,,,,NY,,,,462B7473-AB2E-4E8B-81EF-30FCADDACE7F,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2533,2533,united states department of veterans affairs,Yes,Unknown,PR,,7.0,3.0,2013,Misdelivery,,,,,,,,,46525EA6-AC8E-40FD-A4A8-5C01F7E0BA7E,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19029,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2537,2537,regency theatres,Yes,Unknown,US,,,1.0,2018,,Unknown,,,,,,,Unknown,516085e0-a161-11e8-a73d-8bf9996ed0ad,https://oag.ca.gov/system/files/RegencyDataBreachAllClear_0.pdf,High,1001 to 10000,,512131,19021,,,,,,,,,,,Confirmed,51,512,Unknown,512131,Motion Picture Theaters (except Drive-Ins)
2538,2538,equian,Yes,Unknown,US,Phishing,,8.0,2016,,,,,,IN,,,Opportunistic,2b76a810-ec43-11e7-b683-c1703914e4a4,http://www.theindychannel.com/news/local-news/indy-healthcare-billing-company-latest-w-2-breach-victim,High,1001 to 10000,,524114,19021,,,,,,,,,,,Confirmed,52,524,Unknown,524114,Direct Health and Medical Insurance Carriers
2540,2540,united states department of veterans affairs,Yes,Unknown,US,,13.0,4.0,2015,Misdelivery,,,,,NC,,,,18086BDC-29DD-46F7-8A05-A372C392CA95,http://vcdb.org/pdf/va-security-apr-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2547,2547,tsys merchant solutions,Yes,Unknown,US,,14.0,11.0,2016,Misdelivery,,,,,NE,,,,2eb381c0-c56e-11e7-bdb2-99e5dbe0676c,https://oag.ca.gov/system/files/TSYS%20Merchant%20Data%20Breach%20Notification_1.pdf,Low,101 to 1000,,522320,19021,,,,,,,,,,,Confirmed,52,522,Unknown,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities "
2549,2549,federal bureau of investigation fbi,Yes,Unknown,US,,,,2010,Publishing error,,,,,MD,,,,46932C64-7201-48AB-8BDC-DF72C9ACF15C,http://boingboing.net/2013/12/22/fbi-agent-tries-to-copyright-s.html;http://www.motherjones.com/politics/2013/12/fbi-copyrighted-interrogation-manual-unredacted-secrets,,1001 to 10000,Unknown,922120,19021,,,,,,,,,,Unknown,Confirmed,92,922,Unknown,922120,Police Protection
2557,2557,united states department of veterans affairs,Yes,Unknown,US,,2.0,10.0,2012,Misdelivery,,,,,MN,,,,46B8C0A8-B4CD-4966-BDBA-A2A7BAF2F57D,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2559,2559,hawaii pacific health,Yes,Unknown,US,,27.0,1.0,2020,,,,Data mishandling,,HI,,,Opportunistic,fc8fef30-251e-11eb-af35-ed9bb3f10d5f,https://www.beckershospitalreview.com/cybersecurity/hawaii-health-system-fires-employee-after-wrongfully-viewing-patient-records.html ;https://www.hipaajournal.com/hawaii-pacific-health-discovers-5-year-insider-data-breach/,High,1001 to 10000,,62,19021,,,,,,,,,,,Confirmed,62,62,Unknown,62,Health Care and Social Assistance
2560,2560,internal revenue service,Yes,Unknown,US,,,,2013,,,,Privilege abuse,,DC,,,,46DC7B3A-0B53-4B00-A5AF-46062C7D5D2E,http://www.databreaches.net/northern-kentucky-irs-financial-technician-sentenced-to-28-months-for-stealing-identities-and-committing-mail-fraud/ (20140202),,50001 to 100000,Unknown,921130,19021,,,,,,,,,,,Confirmed,92,921,Unknown,921130,Public Finance Activities
2564,2564,facebook,Yes,Unknown,US,,,,2018,,Exploit vuln,,,,,,,Unknown,fe6e7c50-3609-11e9-bfa7-0593a63883d2,"https://www.nytimes.com/2018/09/28/technology/facebook-hack-data-breach.html; https://news.softpedia.com/news/50-million-facebook-users-affected-by-account-take-over-security-issue-522959.shtml; https://newsroom.fb.com/news/2018/09/security-update/; https://krebsonsecurity.com/2018/09/facebook-security-bug-affects-90m-users/; https://www.wired.com/story/facebook-security-breach-50-million-accounts/; https://www.forbes.com/sites/michellefabio/2018/09/30/facebook-faces-class-action-over-security-breach-that-affected-50-million-users/#d46cdbf7b6cd; https://news.softpedia.com/news/third-party-apps-using-facebook-login-also-affected-by-latest-hacking-incident-522982.shtml; https://uk.fashionnetwork.com/news/Facebook-says-data-breach-affected-29-million-users-details-impact,1024200.html#.W8TETZNKhYg; http://english.yonhapnews.co.kr/news/2018/10/14/0200000000AEN20181014004500315.html; https://www.businessinsider.com/facebook-thinks-spammers-responsible-hack-stole-info-from-29-million-users-2018-10",High,1001 to 10000,,519130,19021,,,,,,,,,,,Confirmed,51,519,Unknown,,
2571,2571,massachusetts general hospital,Yes,Unknown,US,,,,2015,Misdelivery,,,,,MA,,,,FED0031A-CB54-4E9F-A9BA-3C85534D3648,http://www.hipaajournal.com/email-error-massachusetts-general-hospital-data-breach-8052/,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
2572,2572,pillpackcom,Yes,Unknown,US,,,,2015,Misconfiguration,,,,,,,,,3E75C8FE-BD64-4489-9206-F7DDE4B0239E,https://www.databreaches.net/security-advisory-pillpack-com-online-pharmacy/; https://www.databreaches.net/security-advisory-pillpack-com-online-pharmacy/,,101 to 1000,,446110,19021,,,,,,,,,,Unknown,Confirmed,44,446,Unknown,,
2575,2575,saint francis health system,Yes,Unknown,US,,7.0,9.0,2016,,Unknown,,,,OK,,,,E87F2D70-5D58-4D57-A879-AD511977C9B3,http://www.krmg.com/news/news/local/st-francis-server-gets-hacked-6000-people-affected/nsbhd/;  http://www.kjrh.com/news/local-news/saint-francis-health-system-reports-server-hacked-anonymous-demand-made-for-return-of-patient-info; http://www.krmg.com/news/news/local/st-francis-server-gets-hacked-6000-people-affected/nsbhd/  http://www.kjrh.com/news/local-news/saint-francis-health-system-reports-server-hacked-anonymous-demand-made-for-return-of-patient-info; https://www.databreaches.net/st-francis-health-system-hacked-thedarkoverlord/,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
2578,2578,saint thomas rutherford hospital,Yes,Unknown,US,,,,2017,Disposal error,,,,,TN,,,,d083baf0-c330-11e7-8a32-4d861156a278,vcdb,Low,1001 to 10000,,622110,19021,,,,,,,,,,,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
2583,2583,pls financial services,Yes,Unknown,US,,26.0,7.0,2015,Programming error,,,,,IL,,,,4766EBBD-54B5-4F79-9421-2D9C7D3ADCA1,https://oag.ca.gov/system/files/Master%20Notification_0.pdf; http://www.esecurityplanet.com/network-security/pls-financial-acknowledges-security-breach.html;http://www.oag.state.md.us/idtheft/breachNotices2013.htm,,1001 to 10000,,561499,19021,,,,,,,,,,Unknown,Confirmed,56,561,Unknown,561499,All Other Business Support Services
2586,2586,la fitness,Yes,Unknown,US,,,,2012,Disposal error,,,,,CA,,,,47836BA4-9960-46C0-BF3F-C052F25DDF84,http://www.databreaches.net/?p=24221; http://www.kpho.com/story/18362022/passerby-finds-hundreds-of-documents-with-personal-info-in-dumpster,,1001 to 10000,,713940,19021,63000000.0,USD,,,,,,,,Unknown,Confirmed,71,713,Unknown,713940,Fitness and Recreational Sports Centers
2591,2591,united states department of veterans affairs,Yes,Unknown,US,,7.0,11.0,2012,Misdelivery,,,,,MS,,,,479A74D7-A165-48EB-829C-002E3C828A7A,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2594,2594,la county usc medical center,Yes,Unknown,US,,8.0,7.0,2016,Unknown,,,Data mishandling,Theft,CA,,,,1576776B-2992-41A2-A64C-DC3BA8E52619,http://www.nbclosangeles.com/news/local/Over-700-LA-County-USC-Patients-Affected-in-Privacy-Breach-391712481.html,,101 to 1000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
2595,2595,new hampshire department of health and human services,Yes,Unknown,US,,,10.0,2015,,,,Privilege abuse,,NH,,,Opportunistic,ef930ef0-e423-11e7-8742-2bc46bd10713,http://www.nh1.com/news/personal-info-of-about-15-000-nh-dhhs-clients-accessed-by-patient-some-posted-on-social-media/; http://www.dailyprogress.com/new-hampshire-psychiatric-patient-accused-of-data-breach/article_8b048ffe-abd5-5d6e-8854-d874962d9125.html; https://manchesterinklink.com/nh-dhhs-data-breach-involves-15000-clients-personal-info-posted-nh-hospital-patient-social-media/; http://www.newhampshire.com/state-government/Detective-Suspect-in-DHHS-data-breach-said-he-was-bored-12292016,High,Large,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2600,2600,united states department of veterans affairs,Yes,Unknown,US,,2.0,11.0,2011,,,,Privilege abuse,,NM,,,,47F54170-B6EF-42B7-9AD2-533C9B343872,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2602,2602,drizly,Yes,Unknown,US,,,,2020,,Unknown,,,,MA,,,Opportunistic,f78a6060-0fcf-11eb-afe7-87eff9df4bdb,https://techcrunch.com/2020/07/28/drizly-data-breach/,High,101 to 1000,,4453,19021,,,,,,,,,,,Confirmed,44,445,Unknown,4453,"Beer, Wine, and Liquor Retailers "
2609,2609,wellington property management company,Yes,Unknown,US,,10.0,5.0,2020,Misconfiguration,,,,,US-CA,,,Opportunistic,380541e0-2395-11eb-a2fc-cdee479fbead,https://www.nzherald.co.nz/business/data-leak-more-than-30000-lpm-property-management-clients-personal-data-available/QVXRJZNFCCFG7RWZAPAAPAY3AM/,Medium,101 to 1000,,531312,19021,,,,,,,,,,Insignificant,Confirmed,53,531,Unknown,531312,Nonresidential Property Managers
2610,2610,us postal service,Yes,Unknown,US,,,,2012,,,,,Theft,DC,,,,482ABC7D-B313-4A61-AF41-2E5E23DCB67A,http://www.justice.gov/opa/pr/2012/October/12-tax-1287.html (20131106);http://www.enewspf.com/latest-news/law-and-order/federal-and-international/47533-former-u-s-postal-service-mail-carrier-sentenced-to-prison-for-role-in-stolen-identity-refund-fraud-scheme.html (20131106),,Over 100000,,491110,19021,,,,,,,,,,Unknown,Confirmed,49,491,Unknown,491110,Postal Service
2616,2616,fort dodge correctional facility,Yes,Unknown,US,,,,2013,,,,,,IA,,,,487E285B-439E-47A4-BE6A-0A4A78F58CD5,http://www.sfgate.com/news/article/APNewsBreak-Prison-worker-records-left-unattended-4812026.php,,101 to 1000,Unknown,922140,19021,,,,,,,,,,Unknown,Confirmed,92,922,Unknown,922140,Correctional Institutions
2617,2617,texas health care pllc,Yes,Unknown,US,,,,2014,,,,,Theft,TX,,,,488462DC-0675-415F-8C46-C0C7FB49A591,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,,101 to 1000,,621111,19021,,,,,,,,,,Unknown,Confirmed,62,621,Unknown,621111,Offices of Physicians (except Mental Health Specialists)
2621,2621,united states senate,Yes,Unknown,US,Pretexting,,1.0,2017,,Use of stolen creds,,,Tampering,US-MA,,,Targeted,e1fcb180-ef5a-11e9-8b51-736a93581b2e,"https://www.bostonglobe.com/metro/2019/04/07/former-hassan-staffer-pleads-guilty-stealing-data/VYkyDl6wb24wNthDK99TMM/story.html,https://www.bostonherald.com/2018/10/05/former-staffer-for-sen-maggie-hassan-accused-of-stealing-private-info/",High,1001 to 10000,Unknown,921120,19021,,,,,,,,,,Insignificant,Confirmed,92,921,Unknown,921120,Legislative Bodies
2623,2623,charleston area medical center,Yes,Unknown,US,,,,2014,Gaffe,,,,,SC,,,,19067ec0-e442-11e7-977c-0b3846f56840,https://www.databreaches.net/woman-accuses-camc-of-confidentiality-breach-with-infants-information/; http://wvrecord.com/stories/511044664-woman-accuses-camc-of-confidentiality-breach-with-infant-s-information,High,1001 to 10000,,622110,19021,,,,,,,,,,,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
2624,2624,united states department of veterans affairs,Yes,Unknown,US,,23.0,4.0,2012,Misdelivery,,,,,NE,,,,48C08C17-4B80-4342-BD02-2043894D38FF,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2626,2626,rotech healthcare,Yes,Unknown,US,,,,2017,,,,Privilege abuse,,,,,,0debf4f0-db7a-11e7-b589-fd57f91024a3,http://www.hmenews.com/also-noted/rotech-employee-sentenced-identify-theft,,1001 to 10000,,621,19021,,,,,,,,,,,Confirmed,62,621,Unknown,621,Ambulatory Health Care Services
2632,2632,us bank,Yes,Unknown,US,,16.0,11.0,2016,,,,Possession abuse,,,,,,17862c90-77b3-11e7-a457-a5a222e6d450,http://registerguard.com/rg/news/local/35802741-75/former-uo-football-player-arrested-accused-of-identity-theft.html.csp,Medium,50001 to 100000,,522110,19021,,,,,,,,,,,Confirmed,52,522,Unknown,522110,Commercial Banking
2633,2633,central ohio urology group,Yes,Unknown,US,,,7.0,2016,,Unknown,,,,OH,,,Unknown,bb455f50-eab7-11e7-92b6-dfe49f9d7042,https://www.databreaches.net/developing-central-ohio-urology-group-hacked-phi-dumped-hactivist/; https://motherboard.vice.com/read/hacker-dumps-sensitive-patient-data-from-ohio-urology-clinics; https://www.hackread.com/central-ohio-urology-group-hacked/; http://doj.nh.gov/consumer/security-breaches/documents/central-ohio-urology-20160922.pdf; http://www.theregister.co.uk/2016/08/04/ohio_urology_hack/; http://www.dispatch.com/content/stories/business/2016/10/06/urology-data-breach-affected-300000.html#,High,1001 to 10000,,62111,19021,,,,,,,,,,,Confirmed,62,621,Unknown,62111,Offices of Physicians
2639,2639,united states department of veterans affairs,Yes,Unknown,US,,1.0,10.0,2012,Misdelivery,,,,,OR,,,,49463E59-0584-4411-B405-D309B54E8FFC,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2640,2640,k12 inc,Yes,Unknown,US,,25.0,6.0,2019,Misconfiguration,,,,,VA,,,,ebbf14d0-0498-11ea-ad43-7952870528d4,https://thenotebook.org/articles/2019/08/22/cyber-operator-exposed-students-personal-data-part-of-a-growing-threat/,High,1001 to 10000,,611110,19021,,,,,,,,,,,Confirmed,61,611,Unknown,611110,Elementary and Secondary Schools
2642,2642,citrix,Yes,Unknown,US,,,10.0,2015,,Brute force,,,,FL,Citrix,,Targeted,87775c50-6c8b-11e7-8419-7d473c8dcba3,http://www.securityweek.com/citrix-says-sensitive-data-not-accessed-breach?utm_source=twitter.com&utm_medium=social&utm_campaign=buffer&utm_content=buffer40639; http://www.scmagazineuk.com/i-hacked-citrix-says-russian-hacker-w0rm/article/464362/,High,1001 to 10000,,541512,19021,,,,,,,,,,,Confirmed,54,541,Unknown,541512,Computer Systems Design Services
2645,2645,united states department of veterans affairs,Yes,Unknown,US,,13.0,12.0,2012,Loss,,,,,OR,,,,495C442A-28ED-4374-9085-373DE6B5F981,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2648,2648,united states department of veterans affairs,Yes,Unknown,US,,22.0,11.0,2011,Misdelivery,,,,,GA,,,,497007EB-E282-433A-982D-89E6BE570B1B,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2650,2650,tampa general hospital,Yes,Unknown,US,,,,2012,,,,Possession abuse,,FL,,,,DEB455D0-1D65-44A9-B03E-9511E0C82640,http://www.databreaches.net/second-tampa-general-hospital-employee-charged-in-patient-identity-theft-for-tax-refund-fraud-scheme/; http://www.tbo.com/news/crime/second-tgh-employee-accused-of-identity-theft-tax-refund-fraud-20160203/,,1001 to 10000,,621111,19021,,,,,,,,,,Unknown,Confirmed,62,621,Unknown,621111,Offices of Physicians (except Mental Health Specialists)
2653,2653,united states department of veterans affairs,Yes,Unknown,US,,16.0,11.0,2012,Misdelivery,,,,,AR,,,,49B197DA-A47E-4448-8F72-E8EAC9489653,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2657,2657,callaway gardens,Yes,Unknown,US,,,,2013,,Unknown,Spyware/Keylogger,,,GA,,,,4A044A16-CD9E-45EA-AB57-4F9F7C3E1442,http://www.ajc.com/news/news/breaking-news/callaway-gardens-alerts-customers-about-credit-car/nX3g7/,,101 to 1000,,721110,19021,,,,,,,,,,Unknown,Confirmed,72,721,Unknown,721110,Hotels (except Casino Hotels) and Motels
2659,2659,maximus,Yes,Unknown,US,,17.0,5.0,2021,,Unknown,,,,OH,,,Unknown,89dd54a0-d9af-11eb-96ea-fd8a03dbb673,https://www.infosecurity-magazine.com/news/ohio-medicaid-provider-suffers/,High,25001 to 50000,,541611,19021,,,,,,,,,,,Confirmed,54,541,Unknown,541611,Administrative Management and General Management Consulting Services
2665,2665,cabinet for health family services department of medicaid services,Yes,Unknown,US,,17.0,1.0,2013,,Unknown,,,,KY,,,,4A434748-67B6-4336-A175-16FA0144AB5A,,,1001 to 10000,Unknown,923120,19021,,,,,,,,,,Unknown,Confirmed,92,923,Unknown,923120,Administration of Public Health Programs
2675,2675,united states department of veterans affairs,Yes,Unknown,US,,28.0,3.0,2012,,,,Data mishandling,,FL,,,,4A88D87C-CDCE-4E46-8509-B375577E5919,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2676,2676,memorial hermann health system,Yes,Unknown,US,,,9.0,2015,Other,,,,,,,,,16c3a1f0-a7ad-11e7-9f87-7fffd7137a55,https://www.natlawreview.com/article/disclosure-single-patient-s-phi-leads-to-hefty-24-million-settlement,Medium,Large,,62,19021,,,,,,,2430000.0,,,Damaging,Confirmed,62,62,Unknown,62,Health Care and Social Assistance
2685,2685,fujifilm recording media usa inc,Yes,Unknown,US,,13.0,8.0,2012,,Unknown,,,,NY,,,,4AF0ED70-9936-44F7-89B7-5C526A7056E6,http://doj.nh.gov/consumer/security-breaches/documents/fujifilm-recording-20120917.pdf,,1001 to 10000,,334112,19021,28910000.0,USD,,,,,,,,Unknown,Confirmed,33,334,Unknown,334112,Computer Storage Device Manufacturing
2691,2691,united states department of veterans affairs,Yes,Unknown,US,,30.0,1.0,2013,Misdelivery,,,,,OR,,,,4B1282E2-2602-47F7-A68E-49696084E9F9,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2695,2695,united states department of veterans affairs,Yes,Unknown,US,,15.0,12.0,2015,Misdelivery,,,,,NH,,,,687EF940-E942-4438-AE46-AE8222226D19,http://vcdb.org/pdf/va-security-dec-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2698,2698,riot games inc,Yes,Unknown,US,,,10.0,2013,,Unknown,,,,,,,,4B3287E2-BD21-4D7D-B52A-2A3B2A231618,http://www.warcry.com/news/view/128685-Hacker-Leaks-League-of-Legends-Collectible-Card-Game,,101 to 1000,,511210,19021,,,,,,,,,,Unknown,Confirmed,51,511,Unknown,,
2699,2699,oregon state hospital,Yes,Unknown,US,,9.0,6.0,2016,Misdelivery,,,Unknown,,OR,,,,AA08FE5F-3D48-40DE-883C-E11633E276A7,http://www.scmagazine.com/employee-accidentally-compromises-oregon-state-hospital-patient-data/article/514598/; http://www.statesmanjournal.com/story/news/politics/state-workers/2016/08/07/state-hospital-patients-upset-over-medical-data-leak/88048628/; https://www.databreaches.net/state-hospital-patients-upset-over-medical-data-leak/,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
2714,2714,united states department of veterans affairs,Yes,Unknown,US,,20.0,7.0,2011,Misdelivery,,,,,NE,,,,4BA15195-E02D-4FD2-8D70-890ECB719EAB,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
2716,2716,christiana care,Yes,Unknown,US,,24.0,3.0,2016,Misconfiguration,,,,,DE,,,,E61F704F-1E75-4415-B6BF-C217AF4E678F,http://www.wdel.com/story/74273-security-flaw-found-in-christiana-cares-online-biller-by-customer; http://www.wdel.com/story/74273-security-flaw-found-in-christiana-cares-online-biller-by-customer,,10001 to 25000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
